Higher Seed,Lower Seed,Higher Seed #,Lower Seed #,HS HCA?,Round,Games,Comeback,Champion Won,Finalist Won,Higher Seed Down 0-2,Year,Winner
BOS,DAL,1,5,Y,4,5,N,Y,Y,N,2024,BOS
BOS,IND,1,6,Y,3,4,N,Y,Y,N,2024,BOS
MIN,DAL,3,5,Y,3,5,N,N,Y,Y,2024,DAL
DEN,MIN,2,3,Y,2,7,N,N,N,Y,2024,MIN
NYK,IND,2,6,Y,2,7,Y,N,N,N,2024,IND
OKC,NOP,1,8,Y,1,4,N,N,N,N,2024,OKC
MIN,PHO,3,6,Y,1,4,N,N,N,N,2024,MIN
DEN,LAL,2,7,Y,1,5,N,N,N,N,2024,DEN
NYK,PHI,2,7,Y,1,6,N,N,N,N,2024,NYK
CLE,ORL,4,5,Y,1,7,N,N,N,N,2024,CLE
BOS,MIA,2,8,Y,3,7,N,N,Y,Y,2023,MIA
DEN,LAL,1,7,Y,3,4,N,Y,Y,N,2023,DEN
DEN,PHO,1,4,Y,2,6,N,Y,Y,N,2023,DEN
PHI,BRK,3,6,Y,1,4,N,N,N,N,2023,PHI
DEN,MIN,1,8,Y,1,5,N,Y,Y,N,2023,DEN
BOS,ATL,2,7,Y,1,6,N,N,N,N,2023,BOS
SAC,GSW,3,6,Y,1,7,Y,N,N,N,2023,GSW
GSW,DAL,3,4,Y,3,5,N,Y,Y,N,2022,GSW
MIA,PHI,1,4,Y,2,6,N,N,N,N,2022,MIA
PHO,DAL,1,4,Y,2,7,Y,N,N,N,2022,DAL
BOS,BRK,2,7,Y,1,4,N,N,Y,N,2022,BOS
MIA,ATL,1,8,Y,1,5,N,N,N,N,2022,MIA
GSW,DEN,3,6,Y,1,5,N,Y,Y,N,2022,GSW
PHI,TOR,4,5,Y,1,6,N,N,N,N,2022,PHI
PHO,MIL,2,3,Y,4,6,Y,Y,Y,N,2021,MIL
PHO,LAC,2,4,Y,3,6,N,N,Y,N,2021,PHO
PHO,DEN,2,3,Y,2,4,N,N,Y,N,2021,PHO
UTA,LAC,1,4,Y,2,6,Y,N,N,N,2021,LAC
BRK,MIL,2,3,Y,2,7,Y,Y,Y,N,2021,MIL
MIL,MIA,3,6,Y,1,4,N,Y,Y,N,2021,MIL
PHI,WAS,1,8,Y,1,5,N,N,N,N,2021,PHI
BRK,BOS,2,7,Y,1,5,N,N,N,N,2021,BRK
LAC,DAL,4,5,Y,1,7,Y,N,N,Y,2021,LAC
LAL,MIA,1,5,Y,4,6,N,Y,Y,N,2020,LAL
LAL,DEN,1,3,Y,3,5,N,Y,Y,N,2020,LAL
BOS,MIA,3,5,Y,3,6,N,N,Y,N,2020,MIA
MIL,MIA,1,5,Y,2,5,N,N,Y,Y,2020,MIA
TOR,BOS,2,3,Y,2,7,N,N,N,Y,2020,BOS
TOR,BRK,2,7,Y,1,4,N,N,N,N,2020,TOR
BOS,PHI,3,6,Y,1,4,N,N,N,N,2020,BOS
IND,MIA,4,5,Y,1,4,N,N,Y,Y,2020,MIA
HOU,OKC,4,5,Y,1,7,N,N,N,N,2020,HOU
GSW,POR,1,3,Y,3,4,N,N,Y,N,2019,GSW
MIL,TOR,1,2,Y,3,6,Y,Y,Y,N,2019,TOR
GSW,HOU,1,4,Y,2,6,N,N,Y,N,2019,GSW
MIL,DET,1,8,Y,1,4,N,N,N,N,2019,MIL
BOS,IND,4,5,Y,1,4,N,N,N,N,2019,BOS
POR,OKC,3,6,Y,1,5,N,N,N,N,2019,POR
HOU,UTA,4,5,Y,1,5,N,N,N,N,2019,HOU
GSW,CLE,2,4,Y,4,4,N,Y,Y,N,2018,GSW
BOS,CLE,2,4,Y,3,7,Y,N,Y,N,2018,CLE
BOS,PHI,2,3,Y,2,5,N,N,N,N,2018,BOS
TOR,CLE,1,4,Y,2,4,N,N,Y,Y,2018,CLE
GSW,NOP,2,6,Y,2,5,N,Y,Y,N,2018,GSW
POR,NOP,3,6,Y,1,4,N,N,N,Y,2018,NOP
HOU,MIN,1,8,Y,1,5,N,N,N,N,2018,HOU
GSW,SAS,2,7,Y,1,5,N,Y,Y,N,2018,GSW
TOR,WAS,1,8,Y,1,6,N,N,N,N,2018,TOR
BOS,MIL,2,7,Y,1,7,N,N,N,N,2018,MIL
GSW,CLE,1,2,Y,4,5,N,Y,Y,N,2017,GSW
BOS,CLE,1,2,Y,3,5,N,N,Y,Y,2017,BOS
GSW,SAS,1,2,Y,3,4,N,Y,Y,N,2017,GSW
GSW,UTA,1,5,Y,2,4,N,Y,Y,N,2017,GSW
CLE,TOR,2,3,Y,2,4,N,N,Y,N,2017,CLE
BOS,WAS,1,4,Y,2,7,N,N,N,N,2017,BOS
GSW,POR,1,8,Y,1,4,N,Y,Y,N,2017,GSW
CLE,IND,2,7,Y,1,4,N,N,Y,N,2017,CLE
HOU,OKC,3,6,Y,1,5,N,N,N,N,2017,HOU
BOS,CHI,1,8,Y,1,6,Y,N,N,Y,2017,BOS
SAS,MEM,2,7,Y,1,6,N,N,N,N,2017,SAS
WAS,ATL,4,5,Y,1,6,N,N,N,N,2017,WAS
GSW,CLE,1,1,Y,4,7,Y,Y,Y,N,2016,CLE
CLE,TOR,1,2,Y,3,6,N,Y,Y,N,2016,CLE
CLE,ATL,1,4,Y,2,4,N,Y,Y,N,2016,CLE
GSW,POR,1,5,Y,2,5,N,N,Y,N,2016,GSW
CLE,DET,1,8,Y,1,4,N,Y,Y,N,2016,CLE
SAS,MEM,2,7,Y,1,4,N,N,N,N,2016,SAS
GSW,HOU,1,8,Y,1,5,N,N,Y,N,2016,GSW
